start,end,video,start_time,duration,size,bitrate,frames,width,heigth,rtt_min, rtt_avg, rtt_max, pacotes_transmitidos, pacotes_recebidos, pacotes_perdidos, ttl,qoe_value
2024-04-28 15:05:29.655503,2024-04-28 15:05:38.271387,video_1.mp4,0.000000,148.886000,18062628,970548,10547,640,360,23.949,27.689,30.380,4,4,0,37,2.195381796330592
2024-04-28 15:06:45.619378,2024-04-28 15:06:52.847179,video_2.mp4,0.000000,148.886000,18062628,970548,10547,640,360,21.308,31.162,43.841,4,4,0,37,2.195381796330592
2024-04-28 15:07:59.522621,2024-04-28 15:08:06.218232,video_3.mp4,0.000000,148.886000,18062628,970548,10547,640,360,23.492,24.930,26.926,4,4,0,37,2.195381796330592
2024-04-28 15:09:12.833774,2024-04-28 15:09:19.217812,video_4.mp4,0.000000,148.886000,18062628,970548,10547,640,360,22.473,25.705,27.635,4,4,0,37,2.195381796330592
2024-04-28 15:10:26.124476,2024-04-28 15:10:33.455158,video_5.mp4,0.000000,148.886000,18062628,970548,10547,640,360,22.959,25.389,28.970,4,4,0,37,2.195381796330592
2024-04-28 15:11:40.157034,2024-04-28 15:11:47.510231,video_6.mp4,0.000000,148.886000,18062628,970548,10547,640,360,21.136,24.427,27.847,4,4,0,37,2.195381796330592
2024-04-28 15:12:54.258278,2024-04-28 15:13:01.730747,video_7.mp4,0.000000,148.886000,18062628,970548,10547,640,360,27.168,29.185,31.505,4,4,0,37,2.195381796330592
2024-04-28 15:14:08.503824,2024-04-28 15:14:15.410697,video_8.mp4,0.000000,148.886000,18062628,970548,10547,640,360,23.016,28.968,36.510,4,4,0,37,2.195381796330592
2024-04-28 15:15:22.103259,2024-04-28 15:15:28.327619,video_9.mp4,0.000000,148.886000,18062628,970548,10547,640,360,20.240,23.140,28.445,4,4,0,37,2.195381796330592
2024-04-28 15:16:34.953788,2024-04-28 15:16:41.430718,video_10.mp4,0.000000,148.886000,18062628,970548,10547,640,360,24.740,29.097,36.527,4,4,0,37,2.195381796330592
2024-04-28 15:17:48.113664,2024-04-28 15:17:54.822996,video_11.mp4,0.000000,148.886000,18062628,970548,10547,640,360,23.244,41.303,87.849,4,4,0,37,2.195381796330592
2024-04-28 15:19:01.399183,2024-04-28 15:19:08.370333,video_12.mp4,0.000000,148.886000,18062628,970548,10547,640,360,20.560,27.768,32.268,4,4,0,37,2.195381796330592
2024-04-28 15:20:14.973835,2024-04-28 15:20:20.764412,video_13.mp4,0.000000,148.886000,18062628,970548,10547,640,360,23.719,27.630,34.430,4,4,0,37,2.195381796330592
2024-04-28 15:21:27.379290,2024-04-28 15:21:35.719373,video_14.mp4,0.000000,148.886000,18062628,970548,10547,640,360,22.510,27.730,33.316,4,4,0,37,2.195381796330592
2024-04-28 15:22:42.594192,2024-04-28 15:22:50.000857,video_15.mp4,0.000000,148.886000,18062628,970548,10547,640,360,21.587,24.632,30.375,4,4,0,37,2.195381796330592
2024-04-28 15:23:58.539722,2024-04-28 15:24:05.033457,video_16.mp4,0.000000,148.886000,18062628,970548,10547,640,360,22.553,24.954,29.740,4,4,0,37,2.195381796330592
2024-04-28 15:25:11.668043,2024-04-28 15:25:19.235901,video_17.mp4,0.000000,148.886000,18062628,970548,10547,640,360,22.582,25.319,27.929,4,4,0,37,2.195381796330592
2024-04-28 15:26:26.014649,2024-04-28 15:26:33.269013,video_18.mp4,0.000000,148.886000,18062628,970548,10547,640,360,24.660,37.627,56.921,4,4,0,37,2.195381796330592
2024-04-28 15:27:39.946852,2024-04-28 15:27:45.910035,video_19.mp4,0.000000,148.886000,18062628,970548,10547,640,360,25.610,28.753,34.692,4,4,0,37,2.195381796330592
2024-04-29 02:58:02.321765,2024-04-29 02:58:03.607725,video_1.mp4,0.000000,20.104000,974288,387699,1420,320,180,28.195,32.792,39.343,4,4,0,37,1.8705376058468084
2024-04-29 03:01:54.092604,2024-04-29 03:01:55.067716,video_1.mp4,0.000000,20.104000,974288,387699,1420,320,180,25.481,29.157,33.407,4,4,0,37,1.8705376058468084
2024-04-29 03:01:58.689901,2024-04-29 03:01:59.956375,video_2.mp4,0.000000,20.104000,1554248,618483,1420,640,360,26.259,29.698,35.175,4,4,0,37,2.3275198727647806
2024-04-29 03:02:03.673027,2024-04-29 03:02:06.604088,video_3.mp4,0.000000,20.104000,4051924,1612385,1420,1280,720,26.009,28.371,31.876,4,4,0,37,3.8194658557475196
2024-04-29 03:06:38.202997,2024-04-29 03:06:39.257596,video_1.mp4,0.000000,20.104000,974288,387699,1420,320,180,27.125,30.491,33.048,4,4,0,37,1.8705376058468084
2024-04-29 03:06:42.788474,2024-04-29 03:06:44.381975,video_2.mp4,0.000000,20.104000,1554248,618483,1420,640,360,27.440,30.577,37.542,4,4,0,37,2.3275198727647806
2024-04-29 03:06:48.330068,2024-04-29 03:06:49.887407,video_3.mp4,0.000000,20.104000,4051924,1612385,1420,1280,720,27.703,34.531,49.362,4,4,0,37,3.8194658557475196
2024-05-03 10:07:53.471756,2024-05-03 10:07:55.885796,video_1.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,12.353,43.662,99.922,4,4,0,37,3.769697826137845
2024-05-03 10:08:00.358165,2024-05-03 10:08:01.491702,video_2.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,18.255,79.425,149.032,4,4,0,37,3.769697826137845
2024-05-03 10:08:05.875495,2024-05-03 10:08:08.071717,video_3.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,11.428,18.526,35.112,4,4,0,37,3.769697826137845
2024-05-03 10:09:12.262843,2024-05-03 10:09:13.883302,video_4.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,11.247,13.182,17.030,4,4,0,37,3.769697826137845
2024-05-03 10:09:17.936794,2024-05-03 10:09:19.094913,video_5.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.799,11.532,14.565,4,4,0,37,3.769697826137845
2024-05-03 10:09:23.136442,2024-05-03 10:09:24.244918,video_6.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.056,10.756,15.228,4,4,0,37,3.769697826137845
2024-05-03 10:10:28.385562,2024-05-03 10:10:29.978923,video_7.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,11.188,19.661,31.730,4,4,0,37,3.769697826137845
2024-05-03 10:10:34.075424,2024-05-03 10:10:35.320734,video_8.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,11.059,13.237,16.597,4,4,0,37,3.769697826137845
2024-05-03 10:10:39.377024,2024-05-03 10:10:40.866272,video_9.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,13.196,17.276,21.232,4,4,0,37,3.769697826137845
2024-05-03 10:11:45.052334,2024-05-03 10:11:46.843212,video_10.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.244,12.490,15.215,4,4,0,37,3.769697826137845
2024-05-03 10:11:50.926830,2024-05-03 10:11:52.040551,video_11.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.021,11.366,15.595,4,4,0,37,3.769697826137845
2024-05-03 10:11:56.117554,2024-05-03 10:11:57.227892,video_12.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,12.663,14.397,16.157,4,4,0,37,3.769697826137845
2024-05-03 10:13:01.426375,2024-05-03 10:13:03.354269,video_13.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.822,10.437,14.067,4,4,0,37,3.769697826137845
2024-05-03 10:13:07.389544,2024-05-03 10:13:08.578688,video_14.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.724,51.478,164.535,4,4,0,37,3.769697826137845
2024-05-03 10:13:12.627007,2024-05-03 10:13:14.589506,video_15.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.625,49.398,162.615,4,4,0,37,3.769697826137845
2024-05-03 10:14:18.728206,2024-05-03 10:14:21.195416,video_16.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.534,12.075,13.403,4,4,0,37,3.769697826137845
2024-05-03 10:14:25.303718,2024-05-03 10:14:26.839729,video_17.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.311,13.071,16.654,4,4,0,37,3.769697826137845
2024-05-03 10:14:30.927630,2024-05-03 10:14:32.071159,video_18.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.401,13.411,19.958,4,4,0,37,3.769697826137845
2024-05-03 10:15:36.238129,2024-05-03 10:15:38.790631,video_19.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,11.422,11.928,13.017,4,4,0,37,3.769697826137845
2024-05-03 10:15:42.823491,2024-05-03 10:15:44.026951,video_20.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.633,12.101,15.297,4,4,0,37,3.769697826137845
2024-05-03 10:15:48.074649,2024-05-03 10:15:49.223185,video_21.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.210,11.950,13.038,4,4,0,37,3.769697826137845
2024-05-03 10:16:53.299877,2024-05-03 10:16:55.076248,video_22.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.326,12.062,13.745,4,4,0,37,3.769697826137845
2024-05-03 10:16:59.112297,2024-05-03 10:17:00.197316,video_23.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.440,12.660,17.814,4,4,0,37,3.769697826137845
2024-05-03 10:17:04.241806,2024-05-03 10:17:05.359017,video_24.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.026,31.161,86.996,4,4,0,37,3.769697826137845
2024-05-03 10:18:09.606933,2024-05-03 10:18:10.785197,video_25.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.843,16.197,28.394,4,4,0,37,3.769697826137845
2024-05-03 10:18:14.973415,2024-05-03 10:18:16.897430,video_26.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.978,15.477,22.701,4,4,0,37,3.769697826137845
2024-05-03 10:18:20.960850,2024-05-03 10:18:22.592870,video_27.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.826,12.444,14.750,4,4,0,37,3.769697826137845
2024-05-03 10:19:26.799332,2024-05-03 10:19:27.863246,video_28.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,11.436,12.661,13.946,4,4,0,37,3.769697826137845
2024-05-03 10:19:31.943526,2024-05-03 10:19:33.118702,video_29.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.201,11.571,13.204,4,4,0,37,3.769697826137845
2024-05-03 10:19:37.180157,2024-05-03 10:19:38.445703,video_30.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.048,11.477,14.926,4,4,0,37,3.769697826137845
